timestamp,x,y,z,utc,dbm,buffer_voltage_mv,resistance,pwr_nw
1718719865.506996,1.0,2.0,3.0,16:11:03,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.09454764550154,1563,414062,5884
1718719866.1156394,1.0,2.0,3.0,16:11:04,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.109878304942313,1611,117187,22146
1718719866.7261279,1.0,2.0,3.0,16:11:05,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.138852208664627,1611,117187,22146
1718719867.3237965,1.0,2.0,3.0,16:11:05,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.07525016750629,1614,117187,22256
1718719867.93833,1.0,2.0,3.0,16:11:06,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.034464746406158,1616,117187,22339
1718719868.563545,1.0,2.0,3.0,16:11:06,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.01530017763546,1616,117187,22339
1718719869.1840115,1.0,2.0,3.0,16:11:07,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.13688456407006,1619,117187,22367
1718719869.8021526,1.0,2.0,3.0,16:11:08,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.105782563987834,1619,117187,22367
1718719870.4133887,1.0,2.0,3.0,16:11:08,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.171890867045313,1616,117187,22256
1718719871.0215187,1.0,2.0,3.0,16:11:09,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.00077088948549,1614,117187,22119
1718719871.6419568,1.0,2.0,3.0,16:11:09,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.13460141608938,1614,117187,22119
1718719872.2537897,1.0,2.0,3.0,16:11:10,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.10689527368043,1620,117187,22284
1718719872.8388433,1.0,2.0,3.0,16:11:11,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.113186348101586,1620,117187,22284
1718719873.435603,1.0,2.0,3.0,16:11:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.000923093903324,1617,117187,22339
1718719874.0364308,1.0,2.0,3.0,16:11:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.089028508147667,1620,117187,22312
1718719874.6260114,1.0,2.0,3.0,16:11:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.158688335895093,1620,117187,22312
1718719875.1467059,1.0,2.0,3.0,16:11:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.250601512308215,1615,117187,22229
1718719875.6576757,1.0,2.0,3.0,16:11:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.137306464076744,1412,1000000,1996
1718719876.1701376,1.0,2.0,3.0,16:11:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.258452629551144,1412,1000000,1996
1718719876.685908,1.0,2.0,3.0,16:11:15,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.252312065114168,1412,1000000,1996
1718719877.231275,1.0,2.0,3.0,16:11:15,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.17996944695733,1414,1000000,1999
1718719877.7617502,1.0,2.0,3.0,16:11:16,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.141270210673817,1414,1000000,1999
1718719878.284637,1.0,2.0,3.0,16:11:16,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.3072630739957,1414,1000000,1999
1718719878.8175006,1.0,2.0,3.0,16:11:17,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.418395628604358,1419,1000000,2022
1718719879.3415172,1.0,2.0,3.0,16:11:18,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.217832618593945,1419,1000000,2022
